rank,layout_name,word_count,total_frequency,sequence_count,collision_count,collision_group_count,collided_word_count,collided_frequency,weighted_collision_score,weighted_collision_pairs,high_frequency_word_collision_count,average_candidate_ambiguity,first_2_character_ambiguity,first_3_character_ambiguity,channel_load_distribution,channel_entropy,entropy_balance_score,pinky_burden,ring_burden,core_channel_burden,hand_alternation_rate,convergence_auc,average_elimination_rate,average_uniqueness_step,reconstruction_confidence,intent_resolution_score,learnability_index,memorization_complexity,average_field_diversity,cognitive_grouping_score,mnemonic_quality,estimated_learning_difficulty,score,layout
11,evolved_rank_11,800,197112053607,753,47,36,83,47319468703,222919576.31755447,43940135477155526785,22,1.345660647120265,14.84298428348422,3.551896548984748,"{""0"": 50707582615, ""1"": 64592153526, ""2"": 53672702833, ""3"": 65253062443, ""4"": 59487091867, ""5"": 26714591976, ""6"": 79928777076, ""7"": 63143802742, ""8"": 86160066616, ""9"": 13061237066}",0.9636437123752181,0.9636437123752181,0.11332225363716983,0.2678986597644093,0.6187790865984208,0.6466642243929909,7.9461411954845556,0.17167392570208714,13.1039773110013,0.6911729302949223,214156248119.9825,0.7684733136280806,0.1884222879063983,1.0,0.9,0.4,0.23152668637191948,216097517110.8404,"{""a"": 0, ""b"": 9, ""c"": 4, ""d"": 6, ""e"": 7, ""f"": 1, ""g"": 2, ""h"": 4, ""i"": 2, ""j"": 7, ""k"": 5, ""l"": 3, ""m"": 3, ""n"": 3, ""o"": 6, ""p"": 4, ""q"": 5, ""r"": 1, ""s"": 5, ""t"": 8, ""u"": 1, ""v"": 9, ""w"": 8, ""x"": 0, ""y"": 2, ""z"": 0}"
12,evolved_rank_12,800,197112053607,761,39,28,67,29082576516,12534563.081087952,2470713469979731631,15,1.1950128625803882,13.946756018579539,2.9756055399301604,"{""0"": 93476605304, ""1"": 16173733986, ""2"": 39655971940, ""3"": 12552634741, ""4"": 87051131309, ""5"": 66668559385, ""6"": 87262632813, ""7"": 36899959989, ""8"": 69986467413, ""9"": 52993371880}",0.9393050824009933,0.9393050824009933,0.2602887741643619,0.15311351606020504,0.5865977097754331,0.454945348405573,8.233732353690264,0.17488166957053622,12.678379744348883,0.7756615805588176,214539707497.2542,0.7615384615384615,0.4615384615384615,1.0,1.0,0.5999999999999999,0.23846153846153847,216839468956.87384,"{""a"": 0, ""b"": 2, ""c"": 4, ""d"": 4, ""e"": 6, ""f"": 5, ""g"": 5, ""h"": 9, ""i"": 5, ""j"": 2, ""k"": 2, ""l"": 7, ""m"": 6, ""n"": 0, ""o"": 4, ""p"": 2, ""q"": 8, ""r"": 7, ""s"": 2, ""t"": 8, ""u"": 6, ""v"": 9, ""w"": 1, ""x"": 9, ""y"": 3, ""z"": 4}"
13,evolved_rank_13,800,197112053607,768,32,26,58,22181517210,9342784.994406365,1841575536656102547,12,1.136806636623882,13.551869286019842,2.77323004865486,"{""0"": 73115255415, ""1"": 28726368727, ""2"": 44335648960, ""3"": 16674811797, ""4"": 46553335844, ""5"": 76332641557, ""6"": 99786698193, ""7"": 76218068512, ""8"": 48493599220, ""9"": 52484640535}",0.9592196380662372,0.9592196380662372,0.22320098344064,0.13722601166713067,0.6395730048922293,0.4609135567252909,8.702270010209483,0.17572817691150325,11.843763727233034,0.8335651462776148,216183929123.51358,0.7684733136280806,0.1884222879063983,1.0,0.9,0.4,0.23152668637191948,218255505996.84784,"{""a"": 7, ""b"": 8, ""c"": 4, ""d"": 3, ""e"": 6, ""f"": 6, ""g"": 3, ""h"": 9, ""i"": 4, ""j"": 2, ""k"": 2, ""l"": 5, ""m"": 6, ""n"": 2, ""o"": 5, ""p"": 0, ""q"": 3, ""r"": 7, ""s"": 8, ""t"": 0, ""u"": 8, ""v"": 9, ""w"": 1, ""x"": 5, ""y"": 1, ""z"": 4}"
14,evolved_rank_14,800,197112053607,751,49,40,89,48724971884,108767764.61242238,21439437448997355989,24,1.2718130384447341,13.432315179176713,2.9707835450160647,"{""0"": 104974118073, ""1"": 61406270942, ""2"": 55830426931, ""3"": 83010920047, ""4"": 20063688398, ""5"": 26606340420, ""6"": 66632273024, ""7"": 41004826853, ""8"": 3757537953, ""9"": 99434666119}",0.9176155106198951,0.9176155106198951,0.36325063257793205,0.11580126018489686,0.5209481072371711,0.5831112126728712,8.449698674950588,0.1723141859275935,12.026915194134082,0.6761014731128918,215894705161.3982,0.8684733136280804,0.1884222879063983,1.0,0.9,0.7999999999999999,0.1315266863719195,218434412397.2039,"{""a"": 9, ""b"": 4, ""c"": 4, ""d"": 7, ""e"": 0, ""f"": 5, ""g"": 6, ""h"": 9, ""i"": 1, ""j"": 3, ""k"": 5, ""l"": 1, ""m"": 1, ""n"": 2, ""o"": 6, ""p"": 4, ""q"": 5, ""r"": 7, ""s"": 0, ""t"": 3, ""u"": 3, ""v"": 8, ""w"": 0, ""x"": 8, ""y"": 2, ""z"": 2}"
15,evolved_rank_15,800,197112053607,753,47,37,84,40089371361,9612799.894848028,1894798728186648316,20,1.2898904728877056,13.906199931888166,2.8788764649695064,"{""0"": 75252948447, ""1"": 64943186543, ""2"": 110475190089, ""3"": 35360921751, ""4"": 11603297007, ""5"": 18114532396, ""6"": 20146761068, ""7"": 90489605351, ""8"": 110315389788, ""9"": 26019236320}",0.902058517571302,0.902058517571302,0.17996870987994318,0.31144839967907373,0.5085828904409831,0.47803517063948936,8.553052661621342,0.1713504440854533,11.927668219141857,0.7248045919294627,216114553698.448,0.7465131300885379,0.42828956637154014,1.0,0.9,0.5999999999999999,0.2534868699114621,218849417746.7816,"{""a"": 8, ""b"": 3, ""c"": 6, ""d"": 5, ""e"": 7, ""f"": 3, ""g"": 7, ""h"": 8, ""i"": 2, ""j"": 2, ""k"": 2, ""l"": 8, ""m"": 4, ""n"": 0, ""o"": 1, ""p"": 5, ""q"": 7, ""r"": 9, ""s"": 7, ""t"": 2, ""u"": 6, ""v"": 0, ""w"": 0, ""x"": 4, ""y"": 0, ""z"": 5}"
16,evolved_rank_16,800,197112053607,760,40,32,72,46983946453,52440571.47231604,10336668735232874891,23,1.3290086128639316,12.842764510562132,3.0882344832989066,"{""0"": 63143641238, ""1"": 41722360062, ""2"": 62770544831, ""3"": 71675419111, ""4"": 43617780244, ""5"": 87051131309, ""6"": 92513607039, ""7"": 25577060654, ""8"": 20693154127, ""9"": 53956370145}",0.9623978332802486,0.9623978332802486,0.2080960139648566,0.11091732237169914,0.6809866636634443,0.5610886673982955,8.2826224535494,0.17048402692104211,12.735399471815214,0.7079729262434319,217117249522.68262,0.8192482531933267,0.3525058226889108,1.0,0.9,0.7999999999999999,0.18075174680667325,218961386211.32098,"{""a"": 9, ""b"": 8, ""c"": 5, ""d"": 5, ""e"": 0, ""f"": 1, ""g"": 3, ""h"": 6, ""i"": 4, ""j"": 4, ""k"": 4, ""l"": 8, ""m"": 2, ""n"": 6, ""o"": 5, ""p"": 4, ""q"": 1, ""r"": 2, ""s"": 2, ""t"": 3, ""u"": 7, ""v"": 9, ""w"": 1, ""x"": 9, ""y"": 7, ""z"": 5}"
17,evolved_rank_17,800,197112053607,755,45,35,80,32104619507,36834401.05952325,7260504436226483318,20,1.261468046843837,15.71753541255773,3.8689480850039573,"{""0"": 133130108651, ""1"": 31855291512, ""2"": 54158658285, ""3"": 42693913334, ""4"": 47611050188, ""5"": 65451917888, ""6"": 36643056955, ""7"": 0, ""8"": 48493599220, ""9"": 102683472727}",0.9047527433722502,0.9047527433722502,0.4190594496446236,0.14278635578556723,0.43815419456980914,0.5898185145017766,8.628379538638082,0.17721393300224306,11.85895592762972,0.7680106074630432,216114017921.26083,0.5873303189170895,0.3922322702763681,0.9,0.9,0.0,0.4126696810829104,219080460725.35132,"{""a"": 9, ""b"": 8, ""c"": 4, ""d"": 3, ""e"": 0, ""f"": 6, ""g"": 3, ""h"": 9, ""i"": 4, ""j"": 2, ""k"": 4, ""l"": 2, ""m"": 6, ""n"": 2, ""o"": 5, ""p"": 1, ""q"": 0, ""r"": 3, ""s"": 8, ""t"": 0, ""u"": 8, ""v"": 9, ""w"": 1, ""x"": 5, ""y"": 1, ""z"": 4}"
18,evolved_rank_18,800,197112053607,756,44,36,80,62270961474,89435395.05537052,17628794384517416597,25,1.397155981907034,15.613034470737759,3.085474645490689,"{""0"": 40488715033, ""1"": 77962202654, ""2"": 119315525317, ""3"": 26528102448, ""4"": 64912344586, ""5"": 16190159851, ""6"": 88692132531, ""7"": 25866314202, ""8"": 69986494134, ""9"": 32779078004}",0.9315317106426453,0.9315317106426453,0.1302026831844973,0.2629165762604492,0.6068807405550536,0.6197636501692284,8.09008278665503,0.1684818911972505,12.982971248528047,0.6098756138256319,217104212117.0962,0.8934733136280805,0.1884222879063983,1.0,1.0,0.7999999999999999,0.1065266863719195,219170469482.51276,"{""a"": 4, ""b"": 5, ""c"": 9, ""d"": 7, ""e"": 6, ""f"": 6, ""g"": 4, ""h"": 1, ""i"": 0, ""j"": 8, ""k"": 0, ""l"": 7, ""m"": 2, ""n"": 2, ""o"": 2, ""p"": 5, ""q"": 3, ""r"": 3, ""s"": 9, ""t"": 8, ""u"": 4, ""v"": 5, ""w"": 1, ""x"": 3, ""y"": 1, ""z"": 0}"
19,evolved_rank_19,800,197112053607,762,38,31,69,38699653754,129459456.92969483,25518019414259116333,17,1.2636697762817803,16.600711807787665,2.9518806863180935,"{""0"": 114687751815, ""1"": 19674988974, ""2"": 99254375558, ""3"": 36751470015, ""4"": 50932498550, ""5"": 61079690644, ""6"": 16043304877, ""7"": 38572917206, ""8"": 106421414350, ""9"": 19302656771}",0.9119853825893148,0.9119853825893148,0.23811159031464446,0.22408331644994794,0.5378050932354076,0.4912325679164159,8.610387703746474,0.17353699194016428,11.949004237518414,0.70855361733718,217204217361.82947,0.7184733136280805,0.1884222879063983,1.0,0.9,0.20000000000000007,0.28152668637191947,219762506322.1764,"{""a"": 5, ""b"": 4, ""c"": 1, ""d"": 6, ""e"": 8, ""f"": 7, ""g"": 4, ""h"": 0, ""i"": 4, ""j"": 3, ""k"": 6, ""l"": 5, ""m"": 3, ""n"": 8, ""o"": 0, ""p"": 9, ""q"": 5, ""r"": 2, ""s"": 3, ""t"": 2, ""u"": 7, ""v"": 2, ""w"": 9, ""x"": 0, ""y"": 1, ""z"": 1}"
20,evolved_rank_20,800,197112053607,759,41,33,74,34914031626,129404848.0081631,25507255337590730379,15,1.2287893351358117,12.993684243011936,2.744960646702862,"{""0"": 57407303389, ""1"": 84245843314, ""2"": 71044208478, ""3"": 98504562989, ""4"": 61802129199, ""5"": 28010035524, ""6"": 46553316766, ""7"": 27345829330, ""8"": 49235968710, ""9"": 38571871061}",0.9665012575537457,0.9665012575537457,0.17056261046258253,0.23720777385879233,0.5922296156786252,0.5828210449291804,8.681307006489586,0.17216981854072955,11.938114201517472,0.7549069243562264,217714162928.3529,0.8184733136280805,0.1884222879063983,1.0,0.9,0.5999999999999999,0.18152668637191952,219806535329.42795,"{""a"": 4, ""b"": 3, ""c"": 6, ""d"": 5, ""e"": 3, ""f"": 3, ""g"": 7, ""h"": 8, ""i"": 6, ""j"": 2, ""k"": 2, ""l"": 0, ""m"": 4, ""n"": 0, ""o"": 1, ""p"": 1, ""q"": 8, ""r"": 9, ""s"": 7, ""t"": 2, ""u"": 5, ""v"": 0, ""w"": 1, ""x"": 4, ""y"": 9, ""z"": 5}"
21,evolved_rank_21,800,197112053607,750,50,41,91,67754611288,279736270.6208455,55139390770438351373,30,1.409089503271942,14.17565883511129,3.609601508777202,"{""0"": 2197836904, ""1"": 28785800417, ""2"": 104148468091, ""3"": 114321820086, ""4"": 74784486724, ""5"": 59105951507, ""6"": 63223258105, ""7"": 74755617001, ""8"": 21975289331, ""9"": 19422540594}",0.8995360040613647,0.8995360040613647,0.0384211267327207,0.09020648517720518,0.8713723880900741,0.5201678417733062,8.016206499249902,0.17183100338782403,13.338905860304159,0.5717506611021262,218620946763.31238,0.8934733136280805,0.1884222879063983,1.0,1.0,0.7999999999999999,0.1065266863719195,220066411817.54236,"{""a"": 6, ""b"": 7, ""c"": 5, ""d"": 2, ""e"": 2, ""f"": 4, ""g"": 0, ""h"": 4, ""i"": 5, ""j"": 4, ""k"": 3, ""l"": 8, ""m"": 8, ""n"": 3, ""o"": 7, ""p"": 1, ""q"": 1, ""r"": 2, ""s"": 1, ""t"": 3, ""u"": 6, ""v"": 9, ""w"": 9, ""x"": 0, ""y"": 5, ""z"": 0}"
22,evolved_rank_22,800,197112053607,760,40,32,72,51858751586,634153281.5380251,124999255625578177847,17,1.4077977745504318,14.419904274819348,2.876360978331695,"{""0"": 54745605047, ""1"": 108221094438, ""2"": 124402904774, ""3"": 20183572221, ""4"": 27114936982, ""5"": 14223649951, ""6"": 14713512394, ""7"": 88800384087, ""8"": 61079555861, ""9"": 49235853005}",0.9018992618620167,0.9018992618620167,0.1847833035310572,0.3008606922645837,0.5143560042043591,0.44386839426562863,8.688785284460112,0.16784136975040745,11.828064236154878,0.6681796981355317,218822197493.23926,0.7684733136280806,0.1884222879063983,1.0,0.9,0.4,0.23152668637191948,221562600113.31265,"{""a"": 8, ""b"": 3, ""c"": 3, ""d"": 2, ""e"": 7, ""f"": 4, ""g"": 6, ""h"": 9, ""i"": 2, ""j"": 5, ""k"": 4, ""l"": 8, ""m"": 5, ""n"": 1, ""o"": 1, ""p"": 5, ""q"": 1, ""r"": 0, ""s"": 7, ""t"": 2, ""u"": 6, ""v"": 3, ""w"": 0, ""x"": 4, ""y"": 0, ""z"": 9}"
23,evolved_rank_23,800,197112053607,765,35,25,60,25204372757,7108779.308989473,1401226088233865341,12,1.2038214050983498,13.937764607087608,3.2828424740181394,"{""0"": 59451641881, ""1"": 12552634741, ""2"": 110475028585, ""3"": 28046827599, ""4"": 72574272121, ""5"": 39772141244, ""6"": 77857153632, ""7"": 25656742849, ""8"": 87098792181, ""9"": 49235833927}",0.9377236776833947,0.9377236776833947,0.19314627058038075,0.17708849455661885,0.6297652348630004,0.5016653815175898,8.967905307678231,0.17899626705197214,11.886730371200358,0.7959073804527023,221048752406.32803,0.6215131300885379,0.42828956637154014,1.0,1.0,0.0,0.3784868699114621,223151535474.62674,"{""a"": 8, ""b"": 3, ""c"": 4, ""d"": 3, ""e"": 6, ""f"": 5, ""g"": 6, ""h"": 9, ""i"": 2, ""j"": 5, ""k"": 2, ""l"": 8, ""m"": 5, ""n"": 0, ""o"": 4, ""p"": 5, ""q"": 0, ""r"": 8, ""s"": 7, ""t"": 2, ""u"": 6, ""v"": 3, ""w"": 0, ""x"": 4, ""y"": 1, ""z"": 4}"
24,evolved_rank_24,800,197112053607,757,43,33,76,34432508513,41939350.011734754,8266751407755797145,23,1.1936516981610121,14.82033846605542,3.484224601537054,"{""0"": 104148468091, ""1"": 4818144049, ""2"": 25656742849, ""3"": 51457822611, ""4"": 120185164822, ""5"": 39431143115, ""6"": 64943186543, ""7"": 12552634741, ""8"": 70360636995, ""9"": 69167124944}",0.9034006400450806,0.9034006400450806,0.30799556415563845,0.13359866054004757,0.558405775304314,0.555249081861526,8.781637168207803,0.17840112608151149,12.200532497453501,0.74871930911565,220810499470.52267,0.760197805495165,0.54934064834945,1.0,0.9,0.8,0.23980219450483498,223221101791.8453,"{""a"": 4, ""b"": 8, ""c"": 3, ""d"": 0, ""e"": 0, ""f"": 8, ""g"": 1, ""h"": 9, ""i"": 5, ""j"": 5, ""k"": 3, ""l"": 8, ""m"": 8, ""n"": 3, ""o"": 6, ""p"": 1, ""q"": 1, ""r"": 0, ""s"": 2, ""t"": 4, ""u"": 8, ""v"": 9, ""w"": 9, ""x"": 9, ""y"": 7, ""z"": 9}"
